"Week","Date","Fuel","Variable","Value","Unit","Status"
"2004w24",2004-06-11,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","GST",13.4,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Board price",120.6,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Adjusted retail price",120.6,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Importer margin",11.5,"NZD c/L","Final"
"2004w24",2004-06-11,"Regular Petrol","Importer margin trend",13.5920626212831,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Importer cost",52.359,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Price excluding tax",69.05722222,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","GST",13.87777778,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Board price",124.9,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Adjusted retail price",124.9,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Importer margin",16.69822222,"NZD c/L","Final"
"2004w24",2004-06-11,"Premium Petrol 95R","Importer margin trend",13.7523277459998,"NZD c/L","Final"
"2004w25",2004-06-18,"NA","Dubai crude price",33.31,"USD/bbl","Final"
"2004w25",2004-06-18,"NA","Dubai crude price",53.12,"NZD/bbl","Final"
"2004w25",2004-06-18,"NA","Exchange rate",0.627,"USD/NZD","Final"
"2004w25",2004-06-18,"Diesel","Importer cost",44.5,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Price excluding tax",63.3,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","ETS",0,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","GST",8,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Taxes",0.300000000000001,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Board price",71.6,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Adjusted retail price",71.6,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Importer margin",19,"NZD c/L","Final"
"2004w25",2004-06-18,"Diesel","Importer margin trend",18.3604761368984,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Importer cost",47.7,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Price excluding tax",63.5,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","GST",13.2,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Taxes",41.9,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Board price",118.6,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Adjusted retail price",118.6,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Importer margin",14.1,"NZD c/L","Final"
"2004w25",2004-06-18,"Regular Petrol","Importer margin trend",13.5774390390567,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Importer cost",52.396,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Price excluding tax",66.39055556,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","GST",13.54444444,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Board price",121.9,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Adjusted retail price",121.9,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Importer margin",13.99455556,"NZD c/L","Final"
"2004w25",2004-06-18,"Premium Petrol 95R","Importer margin trend",13.7489292311475,"NZD c/L","Final"
"2004w26",2004-06-25,"NA","Dubai crude price",33.66,"USD/bbl","Final"
"2004w26",2004-06-25,"NA","Dubai crude price",53.45,"NZD/bbl","Final"
"2004w26",2004-06-25,"NA","Exchange rate",0.63,"USD/NZD","Final"
"2004w26",2004-06-25,"Diesel","Importer cost",43.2,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Price excluding tax",61.8,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","ETS",0,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","GST",7.8,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Taxes",0.3,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Board price",69.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Adjusted retail price",69.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Importer margin",17.3,"NZD c/L","Final"
"2004w26",2004-06-25,"Diesel","Importer margin trend",18.360582902544,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Importer cost",44.6,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Price excluding tax",61.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","ETS",0,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","GST",13,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Taxes",42,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Board price",116.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Adjusted retail price",116.9,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Importer margin",13.7,"NZD c/L","Final"
"2004w26",2004-06-25,"Regular Petrol","Importer margin trend",13.5567594992535,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Importer cost",52.28214286,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Price excluding tax",66.39055556,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","ETS",0,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","GST",13.54444444,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Taxes",41.965,"NZD c/L","Final"
"2004w26",2004-06-25,"Premium Petrol 95R","Board price",121.9,"NZD c/L","Final"
